NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
DGUOK-AS1	1	DGUOK-AS1	
ELOA	1	ELOA	
ELOB	1	ELOB	
RRP12	1	RRP12	
ELOC	1	ELOC	
CIC	1	CIC	
RRP15	1	RRP15	
ZIK1	1	ZIK1	
RPS6KL1	1	RPS6KL1	
EXOC8	1	EXOC8	
PLLP	1	PLLP	
EXOC7	1	EXOC7	
CIT	1	CIT	
PCOTH	1	PCOTH	
EXOC4	1	EXOC4	
PLIN4	1	PLIN4	
PLIN3	1	PLIN3	
EXOC3	1	EXOC3	
EXOC6	1	EXOC6	
PLIN2	1	PLIN2	
EXOC5	1	EXOC5	
RCCD1	1	RCCD1	
MOCS1	1	MOCS1	
EXOC2	1	EXOC2	
EXOC1	1	EXOC1	
PLIN5	1	PLIN5	
NFIX	1	NFIX	
C1orf198	1	C1orf198	
PRUNE1	1	PRUNE1	
METTL21A	1	METTL21A	
APOL4	1	APOL4	
APOL6	1	APOL6	
RRP36	1	RRP36	
CKB	1	CKB	
APOL1	1	APOL1	
PAIP2	1	PAIP2	
APOL3	1	APOL3	
APOL2	1	APOL2	
PAIP1	1	PAIP1	
HIPK4	1	HIPK4	
CKM	1	CKM	
MOCOS	1	MOCOS	
ELP1	1	ELP1	
RFLNB	1	RFLNB	
G0S2	1	G0S2	
ELP2	1	ELP2	
ELP3	1	ELP3	
ELP4	1	ELP4	
RRP1B	1	RRP1B	
HIPK1	1	HIPK1	
ELP5	1	ELP5	
ELP6	1	ELP6	
HIPK3	1	HIPK3	
HIPK2	1	HIPK2	
NFIA	1	NFIA	
NFIC	1	NFIC	
FOSB	1	FOSB	
PTENP1-AS	1	PTENP1-AS	
PLP2	1	PLP2	
TMEM229B	1	TMEM229B	
C1orf174	1	C1orf174	
CLU	1	CLU	
LCLAT1	1	LCLAT1	
THG1L	1	THG1L	
PODNL1	1	PODNL1	
CFL2	1	CFL2	
CFL1	1	CFL1	
OIP5	1	OIP5	
PLS1	1	PLS1	
IL13RA1	1	IL13RA1	
KCMF1	1	KCMF1	
FKBPL	1	FKBPL	
DIO1	1	DIO1	
LEMD3	1	LEMD3	
FAM91A1	1	FAM91A1	
LEMD2	1	LEMD2	
TOM1L1	1	TOM1L1	
TOM1L2	1	TOM1L2	
OBSCN	1	OBSCN	
FKBP8	1	FKBP8	
FKBP7	1	FKBP7	
FKBP9	1	FKBP9	
FKBP4	1	FKBP4	
FKBP3	1	FKBP3	
FKBP6	1	FKBP6	
FKBP5	1	FKBP5	
C1orf158	1	C1orf158	
FKBP2	1	FKBP2	
CNP	1	CNP	
EDRF1-AS1	1	EDRF1-AS1	
CD300LB	1	CD300LB	
CD300LF	1	CD300LF	
PLTP	1	PLTP	
GASK1B-AS1	1	FAM198B-AS1	
MCL1	1	MCL1	
C1orf162	1	C1orf162	
TCEANC	1	TCEANC	
BCL9	1	BCL9	
UBOX5	1	UBOX5	
BCL6	1	BCL6	
CPD	1	CPD	
BCL3	1	BCL3	
BCL2	1	BCL2	
C1orf159	1	C1orf159	
OSCP1	1	OSCP1	
SLC48A1	1	SLC48A1	
CPM	1	CPM	
MCM7	1	MCM7	
CPQ	1	CPQ	
MCM8	1	MCM8	
ZC3H4	1	ZC3H4	
C1orf131	1	C1orf131	
ZC3H3	1	ZC3H3	
MCM9	1	MCM9	
ZC3H8	1	ZC3H8	
ZC3H6	1	ZC3H6	
KBTBD13	1	KBTBD13	
VPS72	1	VPS72	
CEP170B	1	CEP170B	
EVI5L	1	EVI5L	
CLEC12A-AS1	1	CLEC12A-AS1	
C1orf127	1	C1orf127	
C1orf147	1	C1orf147	
CR1	1	CR1	
ZNF232-AS1	1	ZNF232-AS1	
GGPS1	1	GGPS1	
DIS3	1	DIS3	
APOA2	1	APOA2	
SAPCD2	1	SAPCD2	
SAPCD1	1	SAPCD1	
MCM3	1	MCM3	
ST20-MTHFS	1	ST20-MTHFS	
MCM4	1	MCM4	
MCM5	1	MCM5	
MCM6	1	MCM6	
CRK	1	CRK	
MCM2	1	MCM2	
HDAC4	1	HDAC4	
HDAC5	1	HDAC5	
CEBPA	1	CEBPA	
C1orf112	1	C1orf112	
CEBPB	1	CEBPB	
HDAC2	1	HDAC2	
HDAC3	1	HDAC3	
CEBPD	1	CEBPD	
CEBPE	1	CEBPE	
HDAC1	1	HDAC1	
VPS4B	1	VPS4B	
VPS4A	1	VPS4A	
CEBPG	1	CEBPG	
CRX	1	CRX	
TULP4	1	TULP4	
TULP3	1	TULP3	
C1RL-AS1	1	C1RL-AS1	
HDAC8	1	HDAC8	
HDAC9	1	HDAC9	
HDAC6	1	HDAC6	
HDAC7	1	HDAC7	
STOX2	1	STOX2	
NFS1	1	NFS1	
HECTD1	1	HECTD1	
VPS51	1	VPS51	
HECTD2	1	HECTD2	
VPS50	1	VPS50	
HECTD3	1	HECTD3	
VPS53	1	VPS53	
HECTD4	1	HECTD4	
SVBP	1	SVBP	
VPS52	1	VPS52	
IL21R	1	IL21R	
XIRP1	1	XIRP1	
VPS54	1	VPS54	
CSK	1	CSK	
C1orf109	1	C1orf109	
BCO2	1	BCO2	
SLC35A2	1	SLC35A2	
MGME1	1	MGME1	
SLC35A1	1	SLC35A1	
SLC35A4	1	SLC35A4	
ITGA9-AS1	1	ITGA9-AS1	
SLC35A3	1	SLC35A3	
C1orf122	1	C1orf122	
APOBR	1	APOBR	
CPPED1	1	CPPED1	
KBTBD11	1	KBTBD11	
ASXL1	1	ASXL1	
EVI2A	1	EVI2A	
CTH	1	CTH	
APOC2	1	APOC2	
VPS41	1	VPS41	
APOC1	1	APOC1	
ASXL2	1	ASXL2	
LIFR-AS1	1	LIFR-AS1	
MAP3K14-AS1	1	MAP3K14-AS1	
CEBPZ	1	CEBPZ	
VPS45	1	VPS45	
BCOR	1	BCOR	
EVI2B	1	EVI2B	
C1orf115	1	C1orf115	
SLC35B3	1	SLC35B3	
SLC35B2	1	SLC35B2	
IL1RN	1	IL1RN	
SLC35B4	1	SLC35B4	
DCAF4L1	1	DCAF4L1	
MISP3	1	MISP3	
SLC35B1	1	SLC35B1	
C6orf89	1	C6orf89	
WDR5B-DT	1	WDR5B-DT	
RPS6KA4	1	RPS6KA4	
NFU1	1	NFU1	
RPS6KA3	1	RPS6KA3	
FLG-AS1	1	FLG-AS1	
RPS6KA6	1	RPS6KA6	
RPS6KA5	1	RPS6KA5	
NIPAL1	1	NIPAL1	
RPS6KA2	1	RPS6KA2	
NIPAL2	1	NIPAL2	
NIPAL3	1	NIPAL3	
RPS6KA1	1	RPS6KA1	
ARFIP2	1	ARFIP2	
ARFIP1	1	ARFIP1	
SLC35A5	1	SLC35A5	
FAM41C	1	FAM41C	
H4C5	1	H4C5	
TANGO6	1	TANGO6	
IL1R1	1	IL1R1	
SLC35C2	1	SLC35C2	
TANGO2	1	TANGO2	
SLC35C1	1	SLC35C1	
TWSG1	1	TWSG1	
IL23A	1	IL23A	
GSAP	1	GSAP	
OBSL1	1	OBSL1	
CFTR	1	CFTR	
SLC22A5	1	SLC22A5	
SLC35D1	1	SLC35D1	
SLC35D2	1	SLC35D2	
SLC22A1	1	SLC22A1	
CFAP251	1	CFAP251	
GSE1	1	GSE1	
FAM43A	1	FAM43A	
ARGLU1	1	ARGLU1	
H4C8	1	H4C8	
H4C9	1	H4C9	
SLC35E1	1	SLC35E1	
SLC35E4	1	SLC35E4	
SLC35E3	1	SLC35E3	
MPHOSPH10	1	MPHOSPH10	
TECPR2	1	TECPR2	
TECPR1	1	TECPR1	
SLC35F6	1	SLC35F6	
CAB39L	1	CAB39L	
SLC35F2	1	SLC35F2	
SLC35F5	1	SLC35F5	
MCUB	1	MCUB	
RSF1	1	RSF1	
C6orf47	1	C6orf47	
SIPA1L2	1	SIPA1L2	
SIPA1L3	1	SIPA1L3	
SIPA1L1	1	SIPA1L1	
SLC35G6	1	SLC35G6	
SLC35G2	1	SLC35G2	
TYK2	1	TYK2	
SLC35G1	1	SLC35G1	
GSEC	1	GSEC	
MTSS1	1	MTSS1	
MTSS2	1	MTSS2	
NFX1	1	NFX1	
C1QTNF12	1	C1QTNF12	
AMER1	1	AMER1	
MEGF6	1	MEGF6	
RGPD6	1	RGPD6	
RGPD5	1	RGPD5	
RGPD8	1	RGPD8	
TYMS	1	TYMS	
RGPD2	1	RGPD2	
RGPD1	1	RGPD1	
AGAP2-AS1	1	AGAP2-AS1	
RGPD4	1	RGPD4	
TYMP	1	TYMP	
RGPD3	1	RGPD3	
TCEAL8	1	TCEAL8	
CFAP298	1	CFAP298	
C6orf62	1	C6orf62	
TCEAL4	1	TCEAL4	
TCEAL3	1	TCEAL3	
EMC1	1	EMC1	
EMC2	1	EMC2	
TCEAL1	1	TCEAL1	
EMC3	1	EMC3	
SUSD4	1	SUSD4	
EMC4	1	EMC4	
SUSD3	1	SUSD3	
SUSD6	1	SUSD6	
FAM47E	1	FAM47E	
EMC6	1	EMC6	
EMC7	1	EMC7	
EMC8	1	EMC8	
EMC9	1	EMC9	
TCEAL9	1	TCEAL9	
SVIL	1	SVIL	
NFYA	1	NFYA	
NFYB	1	NFYB	
NFYC	1	NFYC	
SUSD1	1	SUSD1	
SVIP	1	SVIP	
SPCS3	1	SPCS3	
SPCS2	1	SPCS2	
SPCS1	1	SPCS1	
GSTA4	1	GSTA4	
QPCT	1	QPCT	
MEGF8	1	MEGF8	
SIPA1	1	SIPA1	
MEGF9	1	MEGF9	
SPPL2B	1	SPPL2B	
ROGDI	1	ROGDI	
SPPL2A	1	SPPL2A	
CLEC18C	1	CLEC18C	
CLEC18A	1	CLEC18A	
PAIP2B	1	PAIP2B	
OR5H14	1	OR5H14	
EME1	1	EME1	
C3orf62	1	C3orf62	
EME2	1	EME2	
CSKMT	1	CSKMT	
FPGT	1	FPGT	
FPGS	1	FPGS	
TRPC4AP	1	TRPC4AP	
CLEC19A	1	CLEC19A	
C3orf70	1	C3orf70	
SPECC1L	1	SPECC1L	
TIMELESS	1	TIMELESS	
MYADM	1	MYADM	
NUPR1	1	NUPR1	
PMEL	1	PMEL	
ISYNA1	1	ISYNA1	
CD2BP2-DT	1	CD2BP2-DT	
GSTCD	1	GSTCD	
CLEC16A	1	CLEC16A	
PMF1	1	PMF1	
CAMSAP1	1	CAMSAP1	
RSKR	1	RSKR	
CAMSAP2	1	CAMSAP2	
EMG1	1	EMG1	
TASOR	1	TASOR	
TASP1	1	TASP1	
MMADHC-DT	1	MMADHC-DT	
PNPT1	1	PNPT1	
STX17-DT	1	STX17-AS1	
CLEC17A	1	CLEC17A	
CAMSAP3	1	CAMSAP3	
DIAPH1	1	DIAPH1	
DAP	1	DAP	
DIAPH2	1	DIAPH2	
DIAPH3	1	DIAPH3	
PXMP2	1	PXMP2	
PXMP4	1	PXMP4	
SKIV2L	1	SKIV2L	
COLGALT2	1	COLGALT2	
CGAS	1	CGAS	
DBI	1	DBI	
DBP	1	DBP	
NTMT1	1	NTMT1	
DBT	1	DBT	
COLGALT1	1	COLGALT1	
STPG1	1	STPG1	
C3orf38	1	C3orf38	
STPG2	1	STPG2	
SVOP	1	SVOP	
C3orf33	1	C3orf33	
OXSR1	1	OXSR1	
DCK	1	DCK	
C3orf35	1	C3orf35	
CFAP221	1	CFAP221	
DNASE2	1	DNASE2	
DNASE1	1	DNASE1	
CLEC12A	1	CLEC12A	
NDUFV2-AS1	1	NDUFV2-AS1	
PDE11A	1	PDE11A	
DDT	1	DDT	
RPS6KC1	1	RPS6KC1	
TYW1	1	TYW1	
PDSS2	1	PDSS2	
PDSS1	1	PDSS1	
ATXN8OS	1	ATXN8OS	
ATP13A1	1	ATP13A1	
DEK	1	DEK	
RPS6KB1	1	RPS6KB1	
RPS6KB2	1	RPS6KB2	
ATP13A4	1	ATP13A4	
ATP13A2	1	ATP13A2	
ATP13A3	1	ATP13A3	
MT-ND6	1	MT-ND6	
MDC1	1	MDC1	
MT-ND4	1	MT-ND4	
MT-ND5	1	MT-ND5	
NEXMIF	1	NEXMIF	
MT-ND2	1	MT-ND2	
MT-ND3	1	MT-ND3	
MT-ND1	1	MT-ND1	
SCAMP5	1	SCAMP5	
LACTB	1	LACTB	
IL4I1	1	IL4I1	
SCAMP4	1	SCAMP4	
CYP2D7	1	CYP2D7	
CYP2D6	1	CYP2D6	
IGLON5	1	IGLON5	
TYW5	1	TYW5	
TYW3	1	TYW3	
NGDN	1	NGDN	
SCAMP1	1	SCAMP1	
EML1	1	EML1	
HSPG2	1	HSPG2	
SCAMP3	1	SCAMP3	
EML2	1	EML2	
SCAMP2	1	SCAMP2	
EML3	1	EML3	
EML4	1	EML4	
